word,value
productmanagement,1961272.3435080783
consulting,1601144.208819886
businessintelligence,1197140.2605659843
stakeholdermanagement,1184792.4128499504
javascript,1143319.2876448072
agile,1114708.7598576557
ssas,1070081.556183193
decisionmaking,848123.8371953312
datascience,847243.7520251632
outlook,827629.3862682014
informationsecurity,757965.6472894044
unix,651401.2519935714
retail,629546.6888273975
visio,567258.1145580268
datamanagement,550172.2824408121
pyspark,503338.6971018968
marketing,496108.1714697672
statistics,365809.07966423465
databases,306919.6454905601
analytics,290659.0824762119
ssis,245449.65578879768
production,197297.55526401574
attention,193316.08662098265
dataanalysis,182890.62155657276
aws,146669.067853375
oracle,125930.27147520211
matlab,103008.49060313872
perl,94156.19209874666
salesforce,80631.78293643374
word,75374.12583576764
sap,69540.08749576668
presentation,57721.827149862
criticalthinking,53422.39875223952
sas,47817.508679499486
googledatastudio,45213.104236398955
gis,40498.773784727106
problemsolving,29416.59209499749
vba,27235.944341422903
spss,21709.964858459633
interpretation,17857.93731323389
projectmanagement,17624.339350771163
organizational,14911.272553163597
timemanagement,10190.159972999905
leadership,8251.327090959514
reimbursementaccessenvironment,7876.892358501083
stata,4749.689865937437
research,2897.9935217631096
r,2776.1026647906733
teamwork,2211.9929149609598
visualization,1403.0727556065178
tableau,1248.997611679516
quantitativeresearch,1068.8730756356424
planning,740.5395079843682
communication,313.40099624770147
excel,222.0787125699811
interpersonal,218.94042458638083
python,153.88477885121307
sql,94.92568911599253
hadoop,0.0
