word,value
consulting,6766.589366380923
productmanagement,5180.328429762488
agile,4710.866391368856
informationsecurity,4004.044623821471
businessintelligence,3794.4223789730095
stakeholdermanagement,3755.2849852613326
decisionmaking,3584.2528777404377
ssas,3391.700653512497
outlook,3060.436187996518
javascript,3019.8607703243715
visio,2696.948246710112
datascience,2685.4001648975063
datamanagement,2615.716081335081
retail,2327.959229683984
statistics,2318.916511342217
analytics,2149.618148265696
marketing,2096.6008303001254
unix,2064.6632392823185
databases,1945.6078953442795
dataanalysis,1932.283376192
production,1771.8216796028887
aws,1472.114257376717
oracle,1463.5319453008165
pyspark,1329.473579244313
ssis,1166.9555742732064
criticalthinking,1128.8409667668154
sap,991.8554476416806
presentation,975.7519644984599
sas,833.5857297535568
word,716.7111806887572
attention,714.8508221589428
matlab,707.4011504705777
salesforce,681.515333852583
problemsolving,652.6660686687243
interpretation,566.0202001025009
organizational,543.5170661216524
vba,503.57002216048693
timemanagement,484.47670236132643
leadership,418.45081919287543
googledatastudio,406.03421659734937
projectmanagement,381.72103189731496
perl,348.1739802911921
reimbursementaccessenvironment,320.4018550473234
stata,278.50796361281317
teamwork,259.4096286958969
research,199.01698775974853
r,181.84718987535308
spss,160.55969784386414
visualization,145.27324886364363
tableau,136.5781857462546
quantitativeresearch,120.83404024618459
planning,118.14206625001552
gis,106.96981982231141
excel,67.4565555878179
communication,60.26305474599229
interpersonal,53.20263883240096
python,51.29492628373764
sql,34.550343265144676
hadoop,0.0
