word,value
productmanagement,9806361.571414215
consulting,8005720.924804891
javascript,7871759.6794850165
ssas,7829866.11065499
businessintelligence,6873168.9913014695
unix,6514012.422869365
outlook,6491554.696414315
pyspark,5536725.503113587
agile,5205981.265905547
stakeholdermanagement,4978700.210690181
datascience,4966139.239716291
decisionmaking,4815143.988051698
retail,4730833.587206783
visio,3285083.0815726374
marketing,2860888.1552671418
datamanagement,2493740.960682538
informationsecurity,2388632.735488369
statistics,2052189.5850628233
databases,1549567.4788592712
ssis,1460605.730215096
analytics,1224363.2284198264
attention,1211001.524862004
perl,796205.6486214147
aws,771214.4092453509
matlab,765866.8205555828
oracle,662547.1870246695
dataanalysis,652885.7579777882
salesforce,646057.5842283105
word,640039.7751651155
production,589968.5591679185
sap,328558.862913211
presentation,310828.12573131634
sas,305242.5817065986
googledatastudio,295658.1501449341
spss,217099.6453495595
vba,202772.72135510857
gis,161995.09513890842
criticalthinking,155799.59831774657
problemsolving,136172.6791071462
projectmanagement,102944.46367125741
organizational,65167.093429660934
interpretation,61920.70645224752
reimbursementaccessenvironment,44920.90218392724
timemanagement,35878.16765122584
leadership,29579.127363590986
stata,19594.75482782009
research,16626.72516621161
r,16626.595994959072
tableau,8073.211983198068
quantitativeresearch,6229.303452431157
visualization,6128.708860296149
teamwork,5460.127606907175
planning,2821.952567168539
communication,1473.856377144595
interpersonal,1044.4315859445512
excel,802.5681174935812
python,690.870265635269
sql,526.8991402534182
hadoop,0.0
