level_name,Influence,high
goodat,-1.1190061990073996,1
goodat,6.060312358992137,0
strong,25.688172243252616,0
strong,29.83815106807144,1
strong,-20.743133055349826,1
strong,-27.7022957456165,0
strong,4.454789550474225,1
strong,12.765830665163236,0
strong,4.5324946308709535,0
strong,4.511999910707387,1
specialist,12.848969160620015,0
specialist,5.896643760311404,1
strong,-19.99275400247861,1
strong,-17.17064965909557,0
strong,48.36985459475793,0
strong,49.48189309045501,1
strong,9.16624251001068,0
strong,-1.1974668631720364,1
strong,1.2980592597129803,0
strong,1.2296747211334447,1
strong,1.2229849307965779,1
strong,4.11958113672215,0
specialist,1.9825648786219174,1
specialist,2.710188689912596,0
strong,-7.71911101771855,0
strong,-13.650346114920431,1
strong,-4.867170493970951,1
strong,-7.796866545842995,0
excellent,29.337544096282464,0
excellent,34.3552713991599,1
strong,-8.05185459238137,1
strong,-12.973419130859753,0
strong,18.974554470626348,1
strong,14.858222967046464,0
strong,-10.527102971602243,1
strong,-18.858668415003578,0
strong,-8.230798373090298,1
strong,-9.690481054050515,0
strong,28.277456529643775,0
strong,31.001863131854932,1
specialist,61.52757758702221,1
specialist,61.682583803698996,0
excellent,0.2788290606401622,1
excellent,-5.858095311678435,0
strong,-1.3065214763555377,1
strong,0.2849904077314891,0
strong,-4.955219790965836,0
strong,-2.824286313885571,1
excellent,-18.90172515370483,0
excellent,-6.712786967148232,1
strong,1.3565276804800241,1
strong,2.062069623157603,0
strong,6.6298709025079505,0
strong,3.4721690080412593,1
strong,-4.207449328966007,0
strong,-4.960516103851242,1
excellent,18.588311541825163,1
excellent,26.429369745141805,0
excellent,-14.259272762996023,1
excellent,-19.14804665885167,0
strong,2.2019069470490926,1
strong,7.882968297826465,0
excellent,15.018416208758655,1
excellent,19.9679749574565,0
excellent,-5.5041144598846685,0
excellent,-3.218983943762377,1
strong,-9.54171826749759,1
strong,-6.937796759286218,0
strong,3.6403360451204403,0
strong,-1.530399105835556,1
strong,-23.08746175169395,0
strong,-17.802188320872613,1
strong,-17.176802621755062,0
strong,-20.524589089940548,1
skill,18.486909945606776,0
skill,10.49009648085013,1
strong,6.084854210054824,0
strong,3.126304901031074,1
excellent,-1.2808020899318984,0
excellent,1.3735214349827718,1
strong,-14.764919689643508,1
strong,-6.8157804997671985,0
excellent,-23.255159733983955,0
excellent,-26.54952716972638,1
strong,-0.1711258481008615,1
strong,7.300361833494651,0
excellent,-21.25303888426967,0
excellent,-17.46065213835777,1
experience,-21.164552421268123,0
experience,-13.143933528467166,1
excellent,-2.7542479075844617,1
excellent,-7.863653140534699,0
goodat,-4.9657654155705,1
goodat,-13.34601986965488,0
effective,23.439830548764462,1
effective,22.76286199610471,0
strong,3.3642563959240146,1
strong,-0.07322541836144447,0
experience,20.690104575063152,0
experience,14.465155624019864,1
excellent,3.602536274516166,0
excellent,-6.908069149475282,1
strong,20.411044268598477,0
strong,24.916386018273528,1
strong,-6.053198127656523,0
strong,-4.869253348188374,1
strong,28.90923069559119,0
strong,26.83606385605344,1
strong,-19.456337933466838,1
strong,-25.12407139210584,0
strong,-1.8124668805544197,1
strong,5.027594626253928,0
strong,7.677519544634825,0
strong,8.145055689107883,1
excellent,-22.72318396238928,0
excellent,-23.111286391398565,1
excellent,9.16076830789212,1
excellent,7.9890526540315365,0
strong,31.700351757094005,0
strong,25.530977251183362,1
strong,3.602536274516166,0
strong,-6.90806266083287,1
excellent,39.003715435116426,0
excellent,38.9848528807033,1
excellent,-25.40528103320835,1
excellent,-20.558867096995172,0
strong,-19.237009118964522,0
strong,-13.811660254169277,1
strong,-8.110632641688342,0
strong,-8.80049468908355,1
excellent,-34.00783880370408,1
excellent,-44.95362105237006,0
effective,-13.923517960879018,1
effective,-9.984402270328651,0
effective,3.2552893818559747,0
effective,-1.0693745731229165,1
excellent,-9.628562257671213,1
excellent,-10.38669682892066,0
experience,6.097069135926003,0
experience,3.134298908494748,1
strong,10.29595165413637,0
strong,17.856159085516854,1
goodat,-0.6262710620892453,0
goodat,-5.546044707353747,1
strong,-1.7531477115341643,1
strong,3.2184416054743537,0
strong,9.276940961812375,1
strong,15.918793530753984,0
experience,5.661832777248144,0
experience,2.4990802813259716,1
excellent,1.7023723215629616,1
excellent,1.0328098694339483,0
excellent,11.920180293334127,1
excellent,18.648104967361355,0
excellent,10.887175442495757,1
excellent,17.51530184201211,0
strong,-4.599110952086194,0
strong,-7.94235875151319,1
strong,2.8482418521083686,0
strong,-1.9934480949837963,1
strong,5.252223263048439,0
strong,9.641057619955152,1
excellent,15.395294707715191,0
excellent,15.752463348654144,1
strong,-17.711185110906612,1
strong,-22.19624816020851,0
strong,6.246672228028616,0
strong,6.630022570037464,1
strong,-31.702235980601667,1
strong,-41.94623280332953,0
excellent,2.0511238744508553,1
excellent,3.1663689214882496,0
strong,26.511395247353022,0
strong,24.097934617755,1
strong,9.508987792101475,1
strong,9.010283456480561,0
strong,19.125726861769877,1
strong,8.633524742918963,0
excellent,6.663953695669456,0
excellent,4.6720747192536605,1
strong,13.863035561844761,1
strong,19.89098942465919,0
excellent,-25.312846246486476,0
excellent,-20.404724398482298,1
strong,34.47095091625607,1
strong,39.9078859479701,0
strong,61.52757758702221,1
strong,61.682583803698996,0
excellent,-8.183366396986802,1
excellent,2.6903088105577844,0
strong,-4.128629807298623,0
strong,-9.011998477465156,1
strong,3.3004671076855674,0
strong,-1.6993179340027753,1
excellent,-6.856660251679958,0
excellent,-8.043127368324033,1
excellent,4.690807429925448,1
excellent,6.6993244810145125,0
strong,-8.109921453414238,1
strong,-6.326371469847414,0
strong,-3.178826571376603,0
strong,-6.56255542915587,1
strong,-23.82248053268443,1
strong,-30.631651968210562,0
strong,0.28370203109893133,1
strong,5.91502124072143,0
strong,-24.608776519279672,0
strong,-13.206315336710539,1
strong,52.68507640693916,0
