jd_id,skill,level,value,oatt,high,skill_name,level_name
1030,128,13,83.32978820800781,0.3333333432674408,1,writing,strong
78,63,2,63.624820709228516,0.5,1,interpersonal,excellent
78,82,13,91.75642395019531,0.5,1,organizational,strong
1775,5,4,74.8873519897461,0.5,1,dataanalysis,experience
1775,127,2,81.8034896850586,0.5,1,teamwork,excellent
956,5,9,92.33247375488281,0.125,1,dataanalysis,proficient
956,74,14,94.14849090576172,0.125,1,msoffice,understand
956,95,4,49.19860076904297,0.125,1,projectmanagement,experience
956,104,8,87.86135864257812,0.125,1,research,know
956,117,8,2.1133410930633545,0.125,1,spss,know
956,128,13,183.14620971679688,0.125,1,writing,strong
956,132,13,97.50717163085938,0.125,1,verbalcommunicationskills,strong
956,136,4,30.902053833007812,0.125,1,web,experience
49,5,4,64.23111724853516,0.3333333432674408,0,dataanalysis,experience
49,42,12,72.48892211914062,0.3333333432674408,0,excel,specialist
49,63,2,59.09616470336914,0.3333333432674408,0,interpersonal,excellent
857,5,14,91.50271606445312,0.1666666716337204,1,dataanalysis,understand
857,16,4,63.19707107543945,0.1666666716337204,1,businessintelligence,experience
857,31,9,61.31153869628906,0.1666666716337204,1,databases,proficient
857,34,8,72.63928985595703,0.1666666716337204,1,visualization,know
857,75,8,68.51262664794922,0.1666666716337204,1,sql,know
857,100,13,162.5330810546875,0.1666666716337204,1,quantitativeresearch,strong
1663,16,8,74.97029113769531,0.10000000149011612,1,businessintelligence,know
1663,31,4,74.46604919433594,0.10000000149011612,1,databases,experience
1663,55,4,0.0,0.10000000149011612,1,hadoop,experience
1663,75,4,80.52351379394531,0.10000000149011612,1,sql,experience
1663,84,4,17.95939064025879,0.10000000149011612,1,perl,experience
1663,98,4,164.6990509033203,0.10000000149011612,1,python,experience
1663,101,4,73.71328735351562,0.10000000149011612,1,r,experience
1663,108,4,97.38629913330078,0.10000000149011612,1,sas,experience
1663,126,4,160.06082153320312,0.10000000149011612,1,tableau,experience
1663,130,4,87.69762420654297,0.10000000149011612,1,unix,experience
208,5,4,72.36476135253906,0.3333333432674408,1,dataanalysis,experience
208,42,12,57.52153015136719,0.3333333432674408,1,excel,specialist
208,63,2,45.24477767944336,0.3333333432674408,1,interpersonal,excellent
1457,24,13,45.495521545410156,0.20000000298023224,0,communication,strong
1457,31,4,53.314971923828125,0.20000000298023224,0,databases,experience
1457,63,13,53.612545013427734,0.20000000298023224,0,interpersonal,strong
1457,75,4,59.27753448486328,0.20000000298023224,0,sql,experience
1457,128,4,80.53501892089844,0.20000000298023224,0,writing,experience
395,5,4,69.17915344238281,0.1666666716337204,1,dataanalysis,experience
395,16,4,60.79800796508789,0.1666666716337204,1,businessintelligence,experience
395,31,9,56.44240951538086,0.1666666716337204,1,databases,proficient
395,75,8,63.52803421020508,0.1666666716337204,1,sql,know
395,82,13,83.25711822509766,0.1666666716337204,1,organizational,strong
395,100,13,139.36952209472656,0.1666666716337204,1,quantitativeresearch,strong
1458,36,7,76.48422241210938,0.25,0,decisionmaking,goodat
1458,42,14,66.53852844238281,0.25,0,excel,understand
1458,75,8,62.145668029785156,0.25,0,sql,know
1458,90,7,56.081764221191406,0.25,0,problemsolving,goodat
57,4,2,57.847354888916016,0.1111111119389534,0,analytics,excellent
57,16,13,54.31990051269531,0.1111111119389534,0,businessintelligence,strong
57,28,4,35.37910079956055,0.1111111119389534,0,crmplatforms,experience
57,30,4,45.62278366088867,0.1111111119389534,0,customerservice,experience
57,31,9,51.16391372680664,0.1111111119389534,0,databases,proficient
57,42,13,63.37086868286133,0.1111111119389534,0,excel,strong
57,75,13,111.35639953613281,0.1111111119389534,0,sql,strong
57,90,2,98.64366149902344,0.1111111119389534,0,problemsolving,excellent
57,104,14,129.83714294433594,0.1111111119389534,0,research,understand
1192,24,13,50.41243362426758,0.3333333432674408,1,communication,strong
1192,42,12,67.27123260498047,0.3333333432674408,1,excel,specialist
1192,128,13,82.77496337890625,0.3333333432674408,1,writing,strong
1200,42,4,65.82829284667969,0.3333333432674408,0,excel,experience
1200,42,12,65.82829284667969,0.3333333432674408,0,excel,specialist
1200,121,4,79.82810974121094,0.3333333432674408,0,stata,experience
1719,4,13,63.039207458496094,0.3333333432674408,0,analytics,strong
1719,5,4,65.45661926269531,0.3333333432674408,0,dataanalysis,experience
1719,42,12,75.22000122070312,0.3333333432674408,0,excel,specialist
42,16,4,64.01644134521484,0.1666666716337204,1,businessintelligence,experience
42,31,9,60.574554443359375,0.1666666716337204,1,databases,proficient
42,42,4,74.3519058227539,0.1666666716337204,1,excel,experience
42,75,8,67.90861511230469,0.1666666716337204,1,sql,know
42,86,13,75.53852081298828,0.1666666716337204,1,planning,strong
42,100,13,145.8853759765625,0.1666666716337204,1,quantitativeresearch,strong
114,63,2,66.68222045898438,0.5,1,interpersonal,excellent
114,127,2,78.93107604980469,0.5,1,teamwork,excellent
1150,5,4,104.94468688964844,0.20000000298023224,1,dataanalysis,experience
1150,63,13,102.41380310058594,0.20000000298023224,1,interpersonal,strong
1150,75,13,109.11833190917969,0.20000000298023224,1,sql,strong
1150,77,8,125.33905029296875,0.20000000298023224,1,nonrelationaldatabases,know
1150,98,13,122.26470947265625,0.20000000298023224,1,python,strong
53,5,14,64.74082946777344,0.1666666716337204,0,dataanalysis,understand
53,16,4,66.51634216308594,0.1666666716337204,0,businessintelligence,experience
