word,value
consulting,33832.94632775443
productmanagement,25901.641762847903
ssas,24817.325231870014
outlook,24004.69248542007
agile,22000.9773519516
businessintelligence,21785.00472678754
javascript,20791.75826594035
unix,20646.632085164387
decisionmaking,20349.261439204216
retail,17493.837881905692
stakeholdermanagement,15780.349320729574
datascience,15740.536417484283
visio,15618.46156056722
pyspark,14624.208935852052
statistics,13009.12573732376
informationsecurity,12618.239490165712
marketing,12090.388400495052
datamanagement,11856.137689457382
databases,9822.931720185554
analytics,9054.984256670667
aws,7740.662322061104
oracle,7699.96730826346
ssis,6944.242774398238
dataanalysis,6897.89496014567
word,6085.956657671462
salesforce,5460.602930614352
sas,5321.186051937535
production,5298.1856871920845
matlab,5259.518577507967
presentation,5254.35817401063
sap,4686.25953441981
attention,4478.082764941377
vba,3749.0994439666124
criticalthinking,3292.1204081932706
problemsolving,3021.2638787639385
perl,2944.2364185683587
googledatastudio,2655.1445073765867
organizational,2375.3457193061836
projectmanagement,2229.647654792158
interpretation,1962.621440641759
reimbursementaccessenvironment,1827.2104955955604
timemanagement,1705.7765919758722
spss,1605.5969545133821
leadership,1500.0508330188773
stata,1148.9792846740781
research,1141.824760489968
r,1089.1166948626117
tableau,882.8076495097736
quantitativeresearch,704.2107442262375
teamwork,640.3319222046448
visualization,634.5625655668488
planning,450.20056803217
gis,427.87927928924563
communication,283.4039732068846
interpersonal,253.79742711806304
excel,243.78059564649195
python,230.29008854508965
sql,191.7768133304834
hadoop,0.0
