word,value
productmanagement,9806361.571414215
consulting,8005720.924804891
javascript,7871759.6794850165
ssas,7829866.11065499
businessintelligence,6873168.9913014695
unix,6514012.422869365
outlook,6491554.696414314
pyspark,5536725.503113586
agile,5205981.265905547
stakeholdermanagement,4978700.210690181
datascience,4966139.239716291
decisionmaking,4815143.988051698
retail,4730833.587206783
visio,3285083.0815726384
marketing,2860888.1552671418
datamanagement,2493740.960682536
informationsecurity,2388632.735488369
statistics,2052189.5850628233
databases,1549567.4788592712
ssis,1460605.730215096
analytics,1224363.2284198266
attention,1211001.5248620037
perl,796205.6486214147
aws,771214.409245351
matlab,765866.8205555832
oracle,662547.1870246695
dataanalysis,652885.7579777878
salesforce,646057.5842283105
word,640039.7751651155
production,589968.5591679186
sap,328558.8629132111
presentation,310828.12573131634
sas,305242.58170659863
googledatastudio,295658.1501449341
spss,217099.6453495595
vba,202772.72135510852
gis,161995.09513890842
criticalthinking,155799.59831774654
problemsolving,136172.67910714608
projectmanagement,102944.46367125743
organizational,65167.093429660934
interpretation,61920.7064522475
reimbursementaccessenvironment,44920.90218392722
timemanagement,35878.16765122584
leadership,29579.127363590986
stata,19594.75482782009
research,16626.725166211607
r,16626.595994959065
tableau,8073.211983198075
quantitativeresearch,6229.303452431156
visualization,6128.708860296147
teamwork,5460.127606907173
planning,2821.952567168536
communication,1473.856377144595
interpersonal,1044.4315859445508
excel,802.5681174935812
python,690.870265635269
sql,526.8991402534181
hadoop,0.0
