word,value
productmanagement,1961272.3435080778
consulting,1601144.2088198855
businessintelligence,1197140.2605659836
stakeholdermanagement,1184792.4128499501
javascript,1143319.2876448072
agile,1114708.7598576555
ssas,1070081.5561831929
decisionmaking,848123.8371953311
datascience,847243.7520251633
outlook,827629.3862682013
informationsecurity,757965.6472894044
unix,651401.2519935713
retail,629546.6888273975
visio,567258.1145580268
datamanagement,550172.282440812
pyspark,503338.6971018966
marketing,496108.1714697671
statistics,365809.07966423465
databases,306919.64549056016
analytics,290659.0824762117
ssis,245449.65578879768
production,197297.5552640158
attention,193316.08662098265
dataanalysis,182890.6215565727
aws,146669.06785337502
oracle,125930.27147520208
matlab,103008.49060313877
perl,94156.19209874666
salesforce,80631.78293643372
word,75374.12583576764
sap,69540.08749576671
presentation,57721.827149861994
criticalthinking,53422.398752239525
sas,47817.50867949949
googledatastudio,45213.104236398955
gis,40498.773784727106
problemsolving,29416.592094997482
vba,27235.944341422903
spss,21709.964858459625
interpretation,17857.937313233902
projectmanagement,17624.339350771155
organizational,14911.272553163592
timemanagement,10190.159972999902
leadership,8251.327090959514
reimbursementaccessenvironment,7876.892358501082
stata,4749.689865937436
research,2897.9935217631087
r,2776.102664790671
teamwork,2211.9929149609593
visualization,1403.0727556065171
tableau,1248.9976116795171
quantitativeresearch,1068.8730756356429
planning,740.5395079843676
communication,313.40099624770176
excel,222.07871256998118
interpersonal,218.94042458638057
python,153.88477885121287
sql,94.92568911599244
hadoop,0.0
