jd_id,skill,level,value,oatt,high,skill_name,level_name
888,5,4,73.77242,0.33333334,1,dataanalysis,experience
888,42,12,69.32716,0.33333334,1,excel,specialist
888,86,13,68.54329,0.33333334,1,planning,strong
247,5,4,69.10556,0.16666667,1,dataanalysis,experience
247,42,4,75.54199,0.16666667,1,excel,experience
247,64,13,65.08199,0.16666667,1,interpretation,strong
247,86,13,76.74489,0.16666667,1,planning,strong
247,103,14,77.08943,0.16666667,1,reimbursementaccessenvironment,understand
247,126,4,136.19814,0.16666667,1,tableau,experience
887,5,4,70.892525,0.33333334,0,dataanalysis,experience
887,27,4,67.95865,0.33333334,0,criticalthinking,experience
887,121,4,79.42062,0.33333334,0,stata,experience
1532,16,13,62.60613,0.14285715,1,businessintelligence,strong
1532,30,4,56.45944,0.14285715,1,customerservice,experience
1532,31,4,62.921387,0.14285715,1,databases,experience
1532,31,9,62.921387,0.14285715,1,databases,proficient
1532,104,14,78.535934,0.14285715,1,research,understand
1532,129,1,142.99696,0.14285715,1,timemanagement,effective
1532,129,1,140.17206,0.14285715,1,timemanagement,effective
636,5,4,80.16712,0.16666667,0,dataanalysis,experience
636,42,4,66.32338,0.16666667,0,excel,experience
636,63,2,57.218426,0.16666667,0,interpersonal,excellent
636,86,13,67.94411,0.16666667,0,planning,strong
636,103,14,68.31399,0.16666667,0,reimbursementaccessenvironment,understand
636,126,4,67.94162,0.16666667,0,tableau,experience
1318,5,4,63.991024,0.33333334,0,dataanalysis,experience
1318,90,13,59.187057,0.33333334,0,problemsolving,strong
1318,98,9,74.93578,0.33333334,0,python,proficient
146,16,13,63.144352,0.16666667,1,businessintelligence,strong
146,30,4,58.732754,0.16666667,1,customerservice,experience
146,31,9,56.851177,0.16666667,1,databases,proficient
146,98,9,69.93973,0.16666667,1,python,proficient
146,104,14,73.37561,0.16666667,1,research,understand
146,127,2,142.14029,0.16666667,1,teamwork,excellent
1342,67,13,57.613884,0.33333334,1,leadership,strong
1342,98,9,64.0481,0.33333334,1,python,proficient
1342,121,4,71.24168,0.33333334,1,stata,experience
